"","COUNTY","TPO_FREQ"
"1","Atlantic",0.751999326542638
"2","Bergen",0.671944183550248
"3","Burlington",0.698152113569672
"4","Camden",0.744909075672505
"5","Cape May",0.754510556621881
"6","Cumberland",0.764965652600589
"7","Essex",0.679245283018868
"8","Gloucester",0.695344725987036
"9","Hudson",0.686292548298068
"10","Hunterdon",0.342610364683301
"11","Mercer",0.569911822926039
"12","Middlesex",0.666691667291682
"13","Monmouth",0.686810512654121
"14","Morris",0.625857251714503
"15","Ocean",0.78367068898404
"16","Passaic",0.690430159497342
"17","Salem",0.704793388429752
"18","Somerset",0.512380191693291
"19","Sussex",0.595872170439414
"20","Union",0.741236363636364
"21","Warren",0.586628324946082
