"","ZIP","CAPACITY","COUNT"
"258","07801",2331.17,353
"259","07802",5.5,1
"260","07803",568.07,80
"261","07806",7.35,1
"262","07820",58.83,5
"263","07821",1218.566,120
"264","07822",187.58,21
"265","07823",667.42,66
"266","07825",1815.193,164
"267","07826",835.854,68
"268","07827",510.839,64
"269","07828",885.091,109
"270","07829",8.4,1
"271","07830",1089.897,93
"272","07831",21.58,3
"273","07832",538.89,47
"274","07833",4.69,1
"275","07834",966.76,109
"276","07836",1050.674,117
"277","07838",276.505,31
"278","07839",62.625,2
"279","07840",2036.569,236
"280","07842",9.59,2
"281","07843",1101.695,130
"282","07844",100.695,10
"283","07845",8.4,1
"284","07846",8.4,1
"285","07847",196.135,27
"286","07848",819.115,63
"287","07849",972.18,118
"288","07850",484.64,61
"289","07851",35.84,2
"290","07852",310.215,35
"291","07853",1461.026,128
"292","07855",12.24,1
"293","07856",202.38,21
"294","07857",219.99,29
"295","07860",3166.744,319
"296","07863",448.89,45
"297","07865",388.245,39
"298","07866",1604.38,196
"299","07869",1459.661,151
"300","07871",1637.409,147
"301","07874",600.46,66
"302","07875",4.96,1
"303","07876",998.131,125
"304","07877",17.93,2
"305","07878",15.93,3
"306","07879",3.795,1
"307","07880",49.53,5
"308","07882",1651.354,174
"309","07885",1140.378,171
"310","07901",542.251,61
"311","07920",1158.804,113
"312","07921",445.122,34
"313","07922",483.026,53
"314","07924",337.042,32
"315","07926",32.05,4
"316","07927",199.935,24
"317","07928",516.445,55
"318","07930",715.476,56
"319","07931",632.899,33
"320","07932",372.864,40
"321","07933",232.35,23
"322","07934",210.971,13
"323","07935",25.494,4
"324","07936",914.44,98
"325","07938",14.5,2
"326","07940",747.077,81
"327","07945",474.047,37
"328","07946",118.92,16
"329","07950",854.65,102
"330","07960",1337.825,154
"331","07970",9.92,1
"332","07974",286.735,32
"333","07976",146.154,11
"334","07977",15.09,2
"335","07979",8.4,1
"336","07980",137.323,15
"337","07981",637.16,78
"338","08001",954.255,79
"339","08002",3995.405,473
"340","08003",5435.994,605
"341","08004",3117.578,360
"342","08005",9887.492,1201
"343","08006",196.91,33
"344","08007",635.475,86
"345","08008",2287.541,362
"346","08009",4308.601,464
"347","08010",2321.555,308
"348","08011",29.66,3
"349","08012",11368.983,1278
"350","08014",145.61,18
"351","08015",4543.554,511
"352","08016",8234.926,1012
"353","08018",684.425,73
"354","08019",480.475,35
"355","08020",1155.556,114
"356","08021",8153.805,1009
"357","08022",5053.733,604
"358","08023",117.02,15
"359","08024",5.2,1
"360","08025",192.64,18
"361","08026",360.91,44
"362","08027",2657.629,309
"363","08028",4752.363,572
"364","08029",1257.21,152
"365","08030",1312.204,177
"366","08031",2584.795,336
"367","08032",202.495,23
"368","08033",961.915,120
"369","08034",2447.815,282
"370","08035",502.11,66
"371","08036",1641.905,172
"372","08037",9845.783,925
"373","08038",204.415,20
"374","08039",110.815,9
"375","08041",243.82,26
"376","08042",74.975,7
"377","08043",4385.862,503
"378","08045",746.905,88
"379","08046",15020.183,1910
"380","08048",3311.846,342
"381","08049",1415.915,192
"382","08050",12203.347,1450
"383","08051",2727.229,298
"384","08052",2150.787,281
"385","08053",8794.05,972
"386","080533",7.82,1
"387","08054",7839.32,895
"388","08055",3215.37,279
"389","08056",3031.16,267
"390","08057",2313.933,240
"391","08058",10.4,1
"392","08059",1052.525,146
"393","08060",6104.839,761
"394","08061",1310.996,144
"395","08062",6963.422,610
"396","08063",822.362,95
"397","08064",33.28,4
"398","08065",576.93,82
"399","08066",1802.755,228
"400","08067",1595.64,152
"401","08068",1437.805,166
"402","08069",3907.235,426
"403","08070",5446.987,542
"404","08071",1644.914,201
"405","08072",213.975,22
"406","08073",6.24,1
"407","08074",73.49,7
"408","08075",4266.697,517
"409","08077",3361.396,384
"410","08078",1867.877,241
"411","08079",5151.711,441
"412","08080",11685.073,1222
"413","08081",18407.235,2122
"414","08082",3.6,1
"415","08083",2807.76,328
"416","08084",1690.561,203
"417","08085",9812.13,1023
"418","08086",1959.658,215
"419","08087",15286.865,1909
"420","08088",9326.237,845
"421","08089",2402.78,224
"422","08090",2539.776,320
