"","x","y"
"1",21138,-0.00184673402001708
"2",23617,0.00489097350866756
"3",25677,0.0102497328449712
"4",26250,0.0117016640756161
"5",27000,0.0135767357780767
"6",27057,0.0137180664137429
"7",28988,0.0184080599835985
"8",29232,0.0189871688164836
"9",29682,0.0200472555562744
"10",30108,0.0210413204460086
"11",30467,0.0218718847852966
"12",31842,0.0249925393340118
"13",33353,0.0283114496543286
"14",33750,0.0291643180252996
"15",34602,0.030967806063255
"16",36246,0.0343444156058758
"17",37424,0.0366803493698977
"18",37482,0.0367935624466855
"19",37658,0.0371360729436701
"20",38794,0.0393094814875951
"21",39900,0.0413634555865565
"22",40797,0.0429844220796598
"23",40944,0.0432462375568349
"24",40964,0.0432817754539339
"25",41195,0.043690793205306
"26",42727,0.0463361724647479
"27",43039,0.0468606122958338
"28",43776,0.0480802383192425
"29",43783,0.0480916930585413
"30",44315,0.0489551434821559
"31",44785,0.0497062963895364
"32",45176,0.0503228562900092
"33",45889,0.0514276996376055
"34",46107,0.0517604891891322
"35",46520,0.0523845209806259
"36",47094,0.0532378366681139
"37",47630,0.0540199899547786
"38",48360,0.055062471265795
"39",48438,0.0551723084721838
"40",48673,0.0555014189629701
"41",48965,0.0559065723781382
"42",49313,0.056383952772026
"43",50775,0.0583245447520505
"44",50911,0.0584997364951558
"45",50970,0.0585754569918555
"46",51161,0.0588194167347976
"47",51303,0.0589996322547977
"48",51647,0.0594321192073439
"49",52148,0.0600516367216635
"50",53471,0.0616286611777065
"51",53799,0.0620064280202506
"52",53885,0.0621046089335215
"53",54710,0.0630281574406957
"54",54940,0.0632797262619667
"55",55955,0.0643591945057993
"56",56313,0.0647279968288753
"57",56545,0.0649636764498611
"58",57265,0.0656784798782473
"59",57426,0.065834881712662
"60",57473,0.065880302694716
"61",57698,0.0660962621761937
"62",58365,0.0667220686062325
"63",58555,0.0668963976461732
"64",58707,0.0670346048451741
"65",59219,0.0674919348036666
"66",59519,0.0677540221365311
"67",59583,0.0678093721322523
"68",59646,0.0678636643258291
"69",59794,0.0679904548966336
"70",60122,0.0682676867464004
"71",60231,0.0683588438075977
"72",60371,0.068475593387597
"73",60842,0.0688654005051564
"74",61319,0.069254972328505
"75",61335,0.0692679407907492
"76",61436,0.0693496484119916
"77",61551,0.0694423481253887
"78",62021,0.0698173102799837
"79",62063,0.0698504981468701
"80",62200,0.0699583723914489
"81",62500,0.070192486497496
"82",62867,0.0704747396232779
"83",62988,0.0705667480981465
"84",63093,0.0706461528126979
"85",63094,0.0706469070684809
"86",63125,0.0706702703249815
"87",63281,0.0707872852233571
"88",63664,0.0710705169809234
"89",63802,0.0711711043754792
"90",63850,0.071205903919094
"91",63908,0.0712478227166221
"92",63947,0.0712759285094607
"93",64130,0.0714069275495744
"94",64246,0.07148919954521
"95",64525,0.0716845763225042
"96",64531,0.0716887384176264
"97",64718,0.0718176037898967
"98",64743,0.0718347052311675
"99",64767,0.0718510942353746
"100",65000,0.0720087408580265
"101",65227,0.0721597216548112
"102",65377,0.0722580399977003
"103",65521,0.0723513172196305
"104",65577,0.0723872942374738
"105",65699,0.0724650884408079
"106",65761,0.0725043132947524
"107",66039,0.0726775776289782
"108",66098,0.072713790935352
"109",66410,0.0729019585864689
"110",66595,0.0730108294768705
"111",66974,0.0732273817523564
"112",66976,0.0732285009215629
"113",67188,0.0733456994885147
"114",67206,0.0733555184727267
"115",67263,0.0733864744612141
"116",67403,0.0734616134823931
"117",67654,0.0735931010483286
"118",67688,0.0736105891484998
"119",68242,0.073884389958835
"120",68245,0.073885814360362
"121",68398,0.0739576081669048
"122",68586,0.0740435167264249
"123",68845,0.0741576252274492
"124",69000,0.0742235199038268
"125",69035,0.074238148009693
"126",69389,0.0743808153469254
"127",69590,0.0744574685376736
"128",69625,0.0744704885429048
"129",69830,0.0745447740273799
"130",69849,0.0745514870268526
"131",69954,0.0745880543820287
"132",70090,0.0746340723977484
"133",70153,0.0746548708221113
"134",70231,0.0746801628970847
"135",70334,0.0747127795240122
"136",70419,0.0747390213707304
"137",70658,0.0748095016735367
"138",70670,0.0748129107640621
"139",70780,0.074843577785144
"140",70966,0.0748930229415947
"141",71000,0.0749016851486933
"142",71111,0.0749286172943091
"143",71321,0.0749740029867508
"144",71340,0.0749777547029895
"145",71655,0.0750315620261606
"146",71699,0.0750378370222466
"147",71797,0.0750507401727715
"148",71982,0.0750711159719429
"149",72287,0.0750936213162193
"150",72313,0.0750949155125489
"151",72372,0.0750974947828278
"152",72432,0.0750996120020623
"153",72500,0.0751014001518589
"154",72578,0.0751026588558443
"155",72633,0.0751030420929909
"156",73083,0.0750909330046206
"157",73194,0.0750838910532325
"158",73347,0.0750716462298244
"159",73403,0.0750664408920696
"160",73459,0.0750608531017343
"161",73496,0.0750569529789588
"162",73542,0.0750518748702685
"163",73544,0.0750516483432323
"164",73914,0.0750016949742129
"165",74479,0.0748961122040451
"166",74573,0.0748753133945392
"167",75000,0.0747699939030378
"168",75042,0.0747587101733166
"169",75239,0.0747036744568681
"170",75326,0.0746782879312428
"171",75382,0.0746616053680562
"172",75417,0.074651044625988
"173",75460,0.0746379301752112
"174",75528,0.074616879888857
"175",75625,0.0745862031063113
"176",75625,0.0745862031063113
"177",76073,0.0744350946177932
"178",76242,0.0743743034473416
"179",76433,0.0743032777453264
"180",76708,0.0741969495458489
"181",76813,0.0741551581586863
"182",77054,0.0740569081236277
"183",77281,0.0739615926185635
"184",77283,0.0739607415660949
"185",77334,0.0739389756385749
"186",77465,0.0738825157596613
"187",77482,0.0738751323217135
