"","ZIP","CAPACITY","COUNT","Zip_Income","Zip_Perc_White","Zip_Perc_Male"
"606","08732",210.586,24,598,88.9,46.9
"607","08733",1636.921,208,927,80.1,48.6
"608","08734",2610.7,291,3373,99.3,43.7
"609","08735",416.514,64,2026,98.2,46.8
"610","08736",1732.698,228,4904,96.8,51.4
"611","08738",149.79,19,618,92.9,50.2
"612","08739",91.49,12,NA,NA,NA
"613","08740",254.493,38,691,96.1,43.8
"614","08741",708.492,82,995,95.3,46.6
"615","08742",4599.052,582,9807,96.6,49.3
"616","08750",412.619,53,1295,99.9,47.5
"617","08751",250.254,39,2059,79.8,50.2
"618","08752",502.733,80,1185,97.6,51.4
"619","08753",17963.049,2141,23261,87.1,48.7
"620","08754",19.32,2,NA,NA,NA
"621","08755",5729.108,588,10273,83.5,46.8
"622","08756",8.83,1,NA,NA,NA
"623","08757",11227.334,1627,16599,88.4,43.7
"624","08758",2422.351,309,3537,97.1,49.7
"625","08759",13703.751,1469,19376,92.3,42.1
"626","08768",5.2,1,NA,NA,NA
"627","08801",813.441,77,2564,74.2,60
"628","08802",856.638,79,1399,95.8,47.8
"629","08803",51.01,5,NA,NA,NA
"630","08804",530.935,48,972,96.4,53.1
"631","08805",1116.396,165,4161,77,47.3
"632","08807",4415.555,540,13183,68.1,48.2
"633","08808",20.075,2,85,100,59.4
"634","08809",647.915,65,2202,77.4,49.1
"635","08810",1371.226,173,3096,28.7,50
"636","08812",1626.862,213,4563,61.5,48.8
"637","08815",5.72,1,NA,NA,NA
"638","08816",6396.952,804,16435,65.6,47.3
"639","08817",4624.578,634,15564,42.1,50.9
"640","08820",4705.321,528,12891,23.8,48.6
"641","08821",53.053,5,145,89,52.1
"642","08822",3986.315,392,11159,87,47.7
"643","08823",1095.086,116,3662,34,45.5
"644","08824",2549.467,327,4055,51.8,49.7
"645","08825",990.694,95,1705,96.8,50.7
"646","08826",780.194,75,2087,92.3,50.7
"647","08827",796.457,71,1689,96.6,49.9
"648","08828",241.18,25,956,87,49.7
"649","08829",235.481,29,1502,92.5,51.6
"650","08830",2439.938,361,6431,32.1,48.1
"651","08831",9083.514,946,21111,75.4,47.5
"652","08832",315.37,44,1052,68.1,57.7
"653","08833",1331.643,119,3151,94.5,49.4
"654","08834",5.5,1,NA,NA,NA
"655","08835",1909.975,282,3761,80.1,47.3
"656","08836",499.785,50,1327,84.1,45.5
"657","08837",1484.518,186,6100,43.8,50.8
"658","08840",1730.294,232,6073,69,48.3
"659","08844",8479.993,885,13803,72.2,49.3
"660","08846",1971.101,248,4868,64.3,49.7
"661","08848",1650.575,151,3172,99,52.1
"662","08850",370.553,38,2827,89.4,49.3
"663","08852",2430.538,260,6736,36.2,51.2
"664","08853",774.371,76,1769,85.9,49.2
"665","08854",8822.694,1181,16176,34.8,51.2
"666","08855",19.67,3,NA,NA,NA
"667","08857",5394.468,640,14872,77,48.7
"668","08858",174.854,12,35,100,68.5
"669","08859",4616.816,581,8446,63.1,48.7
"670","08861",4900.355,753,16684,79.3,49.4
"671","08862",9.8,1,NA,NA,NA
"672","08863",2249.168,324,4268,64.1,50.1
"673","08865",2694.2,321,11755,84.7,48.3
"674","08867",1375.143,111,1819,93.6,50.1
"675","08869",969.795,129,2995,73.3,48.9
"676","08870",1.8,1,NA,NA,NA
"677","08872",3277.383,403,7262,64.6,47.8
"678","08873",10350.348,1301,20419,44.3,48.7
"679","08875",17.87,2,NA,NA,NA
"680","08876",1569.196,210,8282,78.2,49
"681","08877",9.2,1,NA,NA,NA
"682","08879",3366.28,467,8645,70.6,50.6
"683","08880",704.135,109,1590,62.9,52.8
"684","08882",398.76,41,5752,79.3,50.4
"685","08884",1751.319,215,3207,84.2,48.6
"686","08885",9.154,2,NA,NA,NA
"687","08886",967.79,100,2555,83.9,46.7
"688","08887",36.23,5,501,91.7,42.9
"689","08888",57.58,5,NA,NA,NA
"690","08889",1198.84,105,4233,93.6,49
"691","08899",13.23,1,NA,NA,NA
"692","08901",1161.621,179,15328,63.6,47.9
"693","08902",4409.522,535,14488,46,49.3
"694","08903",8.75,1,NA,NA,NA
"695","08904",781.552,115,5735,66.7,47.8
"696","08906",52.2,6,NA,NA,NA
"697","08944",5.61,1,NA,NA,NA
"698","092703",5.8,1,NA,NA,NA
"699","092707",5.8,1,NA,NA,NA
"700","092711",7.83,1,NA,NA,NA
"701","094105",3.99,1,NA,NA,NA
"702",NA,37.14,9,NA,NA,NA
