"","ZIP","CAPACITY","COUNT","Zip_Income","Zip_Perc_White","Zip_Perc_Male"
"138","07442",563.63,66,4004,85.9,50.3
"139","07444",426.244,52,4658,94.9,47.1
"140","07446",464.16,51,5512,90.9,49.3
"141","07450",600.064,81,8310,78.9,48.2
"142","07451",6.11,1,NA,NA,NA
"143","07452",457.325,56,3776,82.4,49.4
"144","07456",672.299,78,4092,90.9,49
"145","07457",152.15,17,1817,89.5,48
"146","07458",597.93,45,3859,73.9,50.9
"147","07460",163.68,19,1269,95.9,52.4
"148","07461",1274.848,121,6583,94.9,48.3
"149","07462",221.585,23,2553,92.9,53.2
"150","07463",328.592,49,3566,88.8,49.3
"151","07465",343.619,41,2553,93.8,49.1
"152","07470",3689.131,399,18350,87,47.9
"153","07479",7.65,1,NA,NA,NA
"154","07480",1243.123,130,6026,94.5,48.9
"155","07481",188.781,25,5833,93.3,47.7
"156","07501",590.835,79,10745,22.4,49
"157","07502",1132.485,169,4504,38.7,50.1
"158","07503",823.995,109,5399,41.2,52.4
"159","07504",486.985,74,3682,27.6,47.5
"160","07505",5.36,1,1034,33.8,49.7
"161","07506",921.415,125,7118,86.3,50.8
"162","07508",1687.5,239,7541,77,48.4
"163","07511",8.28,1,NA,NA,NA
"164","07512",1229.855,157,3595,83.5,48.4
"165","07513",750.215,97,3324,21.1,48.1
"166","07514",643.918,91,6099,15.4,47.2
"167","07522",330.56,52,6078,38.1,44.6
"168","07524",464.915,64,4181,42.5,49.9
"169","07574",5.51,1,NA,NA,NA
"170","07601",1611.112,241,19080,49.9,48
"171","07603",620.665,97,2792,66,46.8
"172","07604",1226.53,196,4224,75.5,49.2
"173","07605",305.707,46,3355,52.6,49.9
"174","07606",204.89,28,794,86,53.6
"175","07607",673.53,103,3511,70.4,46.3
"176","07620",183.013,16,564,59.9,46.7
"177","07621",2916.067,412,8946,55.9,47.5
"178","07624",234.995,23,2778,55.8,51.7
"179","07626",340.44,34,2812,68.1,49.7
"180","07627",236.823,17,1680,68.9,48.4
"181","07628",1409.94,199,6370,73.7,47.9
"182","07630",541.32,63,2541,83.1,45.8
"183","07631",1724.375,197,11087,52.6,46.4
"184","07632",327.03,33,1843,51.2,49.4
