"","COUNTY","CUSTOMER_TYPE","THIRD_PARTY_OWNERSHIP","CAPACITY","COUNT"
"121","Gloucester","Municipality","No",110.71,4
"122","Gloucester","Municipality","Yes",1678.655,15
"123","Gloucester","Non Profit","No",600.17,10
"124","Gloucester","Non Profit","Yes",3000.79,38
"125","Gloucester","Public University","No",15.59,2
"126","Gloucester","Residential","No",29383.381,2931
"127","Gloucester","Residential","Yes",62520.798,6929
"128","Gloucester","School Other","No",110.19,3
"129","Gloucester","School Other","Yes",349.53,9
"130","Gloucester","School Public K-12","No",818.542,4
"131","Gloucester","School Public K-12","Yes",16682.45,29
"132","Gloucester","SUNLIT","No",20.24,1
"133","Hudson","Commercial","No",67191.906,151
"134","Hudson","Commercial","Yes",24695.779,67
"135","Hudson","Government Facility","No",4.576,1
"136","Hudson","Government Facility","Yes",4547.74,4
"137","Hudson","Municipality","No",1456.391,4
"138","Hudson","Municipality","Yes",897.82,13
"139","Hudson","Non Profit","No",983.316,10
"140","Hudson","Non Profit","Yes",231.47,4
"141","Hudson","Private University","No",235.065,2
"142","Hudson","Residential","No",3167.474,483
"143","Hudson","Residential","Yes",8692.987,1385
"144","Hudson","School Other","No",166.848,2
"145","Hudson","School Other","Yes",383.13,4
"146","Hudson","School Public K-12","No",4651.93,28
"147","Hudson","School Public K-12","Yes",1911.565,15
"148","Hudson","SUNLIT","No",20.304,1
"149","Hunterdon","Commercial","No",80559.624,97
"150","Hunterdon","Commercial","Yes",7260.08,19
"151","Hunterdon","Farm","No",714.502,24
"152","Hunterdon","Farm","Yes",376.325,10
"153","Hunterdon","Government Facility","No",28.08,1
"154","Hunterdon","Municipality","No",61.2,2
"155","Hunterdon","Municipality","Yes",28.8,1
"156","Hunterdon","Non Profit","No",108.645,5
"157","Hunterdon","Non Profit","Yes",10.92,1
"158","Hunterdon","Residential","No",12877.242,1223
"159","Hunterdon","Residential","Yes",7403.769,672
"160","Hunterdon","School Other","Yes",53.22,2
"161","Hunterdon","School Public K-12","Yes",4018.56,9
"162","Hunterdon","SUNLIT","No",55.08,18
"163","Mercer","Commercial","No",63872.676,229
"164","Mercer","Commercial","Yes",62448.686,94
"165","Mercer","Farm","No",365.89,11
"166","Mercer","Farm","Yes",60.58,2
"167","Mercer","Government Facility","No",2018.826,14
"168","Mercer","Government Facility","Yes",394.02,4
"169","Mercer","Municipality","No",569.86,5
"170","Mercer","Municipality","Yes",816.04,3
"171","Mercer","Non Profit","No",1826.875,18
"172","Mercer","Non Profit","Yes",2112.51,12
"173","Mercer","Private University","Yes",739.2,1
"174","Mercer","Public University","No",3.6,2
"175","Mercer","Residential","No",19286.147,2088
"176","Mercer","Residential","Yes",24029.131,3035
"177","Mercer","School Charter","Yes",139.84,1
"178","Mercer","School Other","No",918.28,3
"179","Mercer","School Other","Yes",21523.821,8
"180","Mercer","School Public K-12","No",1805.956,13
