"","x","y"
"1",3.2,0.0206545928112541
"2",3.4,0.0207615076116089
"3",3.4,0.0207615076116089
"4",3.8,0.0209744811411338
"5",5.1,0.0216588615761128
"6",6.8,0.0225362692963431
"7",7.3,0.0227906360006568
"8",10.7,0.0244775541444663
"9",13.4,0.0257666096190911
"10",13.6,0.0258604013976388
"11",15.4,0.0266944148360022
"12",17.5,0.0276452197354886
"13",18.5,0.0280899367365854
"14",19.5,0.0285296561881238
"15",20.3,0.0288779290111444
"16",21.1,0.0292231671123999
"17",22.4,0.0297778940476906
"18",23.8,0.0303669033578158
"19",24.5,0.0306582640291109
"20",24.9,0.0308238408382916
"21",25.5,0.031070982479302
"22",25.9,0.0312349411216731
"23",26.2,0.0313574952823172
"24",26.8,0.0316015535474811
"25",27.4,0.0318442373174924
"26",27.5,0.031884553136346
"27",27.6,0.0319248317695441
"28",27.8,0.0320052780474108
"29",27.9,0.0320454459762981
"30",28.7,0.0323654831247244
"31",29.6,0.0327228142942091
"32",29.6,0.0327228142942091
"33",29.7,0.0327623448558963
"34",31.1,0.0333122611579887
"35",31.3,0.0333902984192058
"36",32.1,0.0337011874127853
"37",32.6,0.0338944923348667
"38",33.1,0.0340870488049591
"39",34,0.0344318210537373
"40",34.3,0.0345462369468473
"41",34.8,0.034736381552404
"42",36.2,0.0352652771969152
"43",36.5,0.0353779657259985
"44",37.6,0.0357893077012899
"45",37.9,0.0359010044333761
"46",38.1,0.0359753566531602
"47",38.7,0.0361978869304222
"48",39.2,0.0363827426166907
"49",40.3,0.0367876409577318
"50",41.2,0.0371172032825445
"51",41.5,0.0372267333746956
"52",42.1,0.0374453305565301
"53",42.5,0.0375907313624378
"54",42.8,0.0376996148423027
"55",43.8,0.0380615775381445
"56",44.3,0.0382420241854493
"57",45.9,0.0388173046998675
"58",46,0.0388531598732973
"59",46.4,0.0389964730338209
"60",47.5,0.0393897596045059
"61",49.3,0.0400311186431349
"62",49.9,0.0402444172427544
"63",49.9,0.0402444172427544
"64",50.3,0.040386507351079
"65",50.6,0.0404930241953008
"66",51.2,0.0407059440439091
"67",51.4,0.0407768877649974
"68",51.4,0.0407768877649974
"69",51.5,0.0408123547221996
"70",51.8,0.0409187376857504
"71",52.4,0.0411354694287559
"72",52.5,0.0411723528757718
"73",52.6,0.0412094491459719
"74",52.6,0.0412094491459719
"75",52.7,0.0412467564598518
"76",53.2,0.0414363964018099
"77",53.4,0.0415136674017116
"78",53.5,0.041552599002886
"79",54.3,0.0418709233471124
"80",54.4,0.0419115461394341
"81",54.7,0.0420344814740266
"82",54.7,0.0420344814740266
"83",55,0.0421589798754756
"84",55,0.0421589798754756
"85",55.5,0.0423698201961646
"86",55.8,0.0424982518813646
"87",55.9,0.0425413730148715
"88",57.2,0.0431151611352415
"89",57.4,0.0432054719008183
"90",57.4,0.0432054719008183
"91",57.8,0.0433875867257732
"92",58.3,0.0436178833737611
"93",58.6,0.0437573909419836
"94",59.9,0.0443721512803991
"95",60.2,0.04451610876837
"96",60.7,0.0447575302157288
"97",60.8,0.0448060223347753
"98",60.9,0.0448545795781707
"99",61.2,0.0450006242594093
"100",61.5,0.0451471909976421
"101",61.6,0.0451961542853661
"102",61.6,0.0451961542853661
"103",61.8,0.0452942317462599
"104",61.9,0.0453433423604214
"105",62.1,0.0454416984586537
"106",62.1,0.0454416984586537
"107",62.2,0.0454909403837163
"108",62.4,0.0455895430882145
"109",62.6,0.0456882924018495
"110",62.9,0.045836660123113
"111",62.9,0.045836660123113
"112",62.9,0.045836660123113
"113",63,0.0458861739124009
"114",63.1,0.0459357136769488
"115",63.1,0.0459357136769488
"116",63.2,0.0459852776372527
"117",63.4,0.0460844710271121
"118",63.6,0.0461837398459468
"119",64.1,0.0464321484708388
"120",64.2,0.04648185651598
"121",64.3,0.0465315691823328
"122",64.4,0.046581284690393
"123",64.5,0.0466310012606567
"124",64.6,0.0466807171136199
"125",64.6,0.0466807171136199
"126",64.8,0.0467801395496282
"127",65,0.0468795377623857
"128",65.1,0.0469292233362853
"129",65.2,0.04697889751586
"130",65.3,0.047028558521606
"131",65.4,0.047078204574019
"132",65.6,0.0471774447008302
"133",65.9,0.0473261482534494
"134",66,0.0473756672162802
"135",66,0.0473756672162802
"136",66.1,0.0474251587692499
"137",66.4,0.0475734511739516
"138",66.7,0.0477214328277575
"139",66.8,0.047770682685586
"140",66.9,0.047819890897521
"141",67,0.0478691355113162
"142",67.2,0.047967953330458
"143",67.2,0.047967953330458
"144",67.3,0.048017514324939
"145",67.5,0.0481169099565574
"146",67.6,0.0481667323828292
"147",67.8,0.0482665959291342
"148",67.9,0.0483166248383019
"149",67.9,0.0483166248383019
"150",67.9,0.0483166248383019
"151",68.1,0.0484168464015035
"152",68.1,0.0484168464015035
"153",68.1,0.0484168464015035
"154",68.3,0.0485172455883086
"155",68.3,0.0485172455883086
"156",68.7,0.0487183814588797
"157",68.9,0.0488190204557214
"158",69,0.0488693363505165
"159",69,0.0488693363505165
"160",69.1,0.0489196417023175
"161",69.2,0.0489699304056916
"162",69.3,0.0490201963552059
"163",69.3,0.0490201963552059
"164",69.5,0.0491206355709244
"165",69.9,0.0493209723170025
"166",70,0.0493709080373811
"167",70.4,0.0495698738913483
"168",70.4,0.0495698738913483
"169",70.6,0.0496688051257448
"170",70.6,0.0496688051257448
"171",70.8,0.049767303440467
"172",71.1,0.0499141323430871
"173",71.3,0.0500113346684761
"174",71.3,0.0500113346684761
"175",71.5,0.050107933122073
"176",71.8,0.0502515916977845
"177",71.8,0.0502515916977845
