"","ZIP","CAPACITY","COUNT","Income","Perc_White","Perc_Male","Total_Occ_House","Adoption_Rate"
"80","07090",830.142,100,10280,83.4,48.3,10280,0.00972762645914397
"81","07092",401.645,44,2528,88.5,47.8,2528,0.0174050632911392
"82","07093",494.41,69,24117,61.6,49.9,24117,0.00286105236969772
"83","07094",1316.247,183,7557,62.1,47.8,7557,0.0242159587137753
"84","07095",1682.175,240,7438,57.8,49,7438,0.0322667383705297
"85","07099",7.82,1,NA,NA,NA,NA,NA
"86","07102",27.18,5,5501,27.4,51.1,5501,0.00090892564988184
"87","07103",580.557,117,11835,10.7,44.7,11835,0.00988593155893536
"88","07104",766.85,99,18934,37.9,49.2,18934,0.00522868913066441
"89","07105",297.179,47,17320,69.9,53.2,17320,0.00271362586605081
"90","07106",730.885,128,11575,3.8,46.3,11575,0.0110583153347732
"91","07107",480.485,78,13207,29.6,47.5,13207,0.00590595896115696
"92","07108",728.31,147,8928,5.1,44.8,8928,0.0164650537634409
"93","07109",2628.09,426,12189,62.9,49,12189,0.0349495446714251
"94","07110",1663.148,239,11033,79.6,48.6,11033,0.0216622858696637
"95","07111",1755.425,297,20024,7.3,47.4,20024,0.01483220135837
"96","07112",687.517,118,9695,3.2,44.8,9695,0.0121712222795255
"97","07114",115.07,18,3375,24.5,63.6,3375,0.00533333333333333
"98","07189",3.525,1,NA,NA,NA,NA,NA
"99","07201",1356.57,196,8651,52.5,53.8,8651,0.0226563403074789
"100","07202",2213.445,329,13097,34.3,48,13097,0.0251202565473009
"101","07203",2501.65,393,7402,26.2,47,7402,0.0530937584436639
"102","07204",994.565,151,4948,58.3,49.9,4948,0.030517380759903
"103","07205",2427.835,376,7342,26.8,46.8,7342,0.0512122037591937
"104","07206",1445.33,210,7894,24.9,49.5,7894,0.0266024828984039
"105","07207",7.2,1,NA,NA,NA,NA,NA
"106","07208",1484.674,224,11123,55.5,50.8,11123,0.0201384518565135
"107","07242",6.07,1,NA,NA,NA,NA,NA
"108","07302",205.482,34,22355,52.4,50.8,22355,0.00152091254752852
"109","07303",5.13,1,NA,NA,NA,NA,NA
"110","07304",666.719,99,16075,25.9,48,16075,0.00615863141524106
"111","07305",1659.38,259,22652,19.5,46.9,22652,0.011433868974042
"112","07306",465.565,74,20107,42.8,51.7,20107,0.0036803103396827
