"","ZIP","TPO_FREQ"
"1","07001",0.809734513274336
"2","07002",0.772388059701492
"3","07003",0.759197324414716
"4","07004",0.883408071748879
"5","07005",0.635761589403974
"6","07006",0.681159420289855
"7","07007",1
"8","07008",0.852272727272727
"9","07009",0.55
"10","07010",0.716417910447761
"11","07011",0.786703601108033
"12","07012",0.840909090909091
"13","07013",0.763005780346821
"14","07014",0.661016949152542
"15","07015",0.5
"16","07016",0.691176470588235
"17","07017",0.806451612903226
"18","07018",0.756410256410256
"19","07019",0.5
"20","07020",0.526315789473684
"21","07021",1
"22","07022",0.609756097560976
"23","07023",0.631578947368421
"24","07024",0.622641509433962
"25","07026",0.795348837209302
"26","07027",0.759259259259259
"27","07028",0.538461538461538
"28","07029",0.69047619047619
"29","07030",0.173913043478261
"30","07031",0.813084112149533
"31","07032",0.802675585284281
"32","07033",0.743589743589744
"33","07034",0.686274509803922
"34","07035",0.726190476190476
"35","07036",0.800988875154512
"36","07039",0.473029045643154
"37","07040",0.575471698113208
"38","07041",0.257142857142857
"39","07042",0.567251461988304
"40","07043",0.453333333333333
"41","07044",0.666666666666667
"42","07045",0.523076923076923
"43","07046",0.777777777777778
"44","07047",0.71608832807571
"45","07050",0.666666666666667
"46","07051",1
"47","07052",0.681467181467181
"48","07054",0.730878186968839
"49","07055",0.670833333333333
"50","07057",0.797752808988764
"51","07058",0.678571428571429
"52","07059",0.31304347826087
"53","07060",0.778115501519757
"54","07061",0.5
"55","07062",0.827586206896552
"56","07063",0.776470588235294
"57","07064",0.846774193548387
"58","07065",0.826302729528536
"59","07066",0.684931506849315
"60","07067",0.69774011299435
"61","07068",0.594594594594595
"62","07069",0.319148936170213
"63","07070",0.526595744680851
"64","07071",0.715596330275229
"65","07072",0.686046511627907
"66","07073",0.578313253012048
"67","07074",0.851063829787234
"68","07075",0.715789473684211
"69","07076",0.623893805309734
"70","07077",0.842857142857143
"71","07078",0.285714285714286
"72","07079",0.561151079136691
"73","07080",0.779092702169625
"74","07081",0.704918032786885
"75","07082",0.416666666666667
"76","07083",0.818104184457728
"77","07086",0.347826086956522
"78","07087",0.831168831168831
"79","07088",0.785714285714286
"80","07090",0.44
"81","07092",0.340909090909091
"82","07093",0.826086956521739
"83","07094",0.737704918032787
"84","07095",0.8125
"85","07102",0.4
"86","07103",0.461538461538462
"87","07104",0.757575757575758
"88","07105",0.638297872340426
"89","07106",0.8671875
"90","07107",0.730769230769231
"91","07108",0.843537414965986
"92","07109",0.78169014084507
"93","07110",0.769874476987448
"94","07111",0.797979797979798
"95","07112",0.830508474576271
"96","07114",0.5
"97","07189",1
"98","07201",0.673469387755102
"99","07202",0.78419452887538
"100","07203",0.865139949109415
"101","07204",0.71523178807947
"102","07205",0.803191489361702
"103","07206",0.619047619047619
"104","07207",1
"105","07208",0.834821428571429
"106","07242",1
"107","07302",0.294117647058824
"108","07303",1
"109","07304",0.747474747474748
"110","07305",0.795366795366795
"111","07306",0.689189189189189
"112","07307",0.73469387755102
"113","07331",0.5
"114","07401",0.333333333333333
"115","07403",0.166666666666667
"116","07405",0.130434782608696
"117","07407",0.723140495867769
"118","07410",0.624078624078624
"119","07416",0.818181818181818
"120","07417",0.37037037037037
"121","07418",0.542857142857143
"122","07419",0.8
"123","07420",0.814814814814815
"124","07421",0.64367816091954
"125","07422",0.357142857142857
"126","07423",0.3
"127","07424",0.665289256198347
"128","07428",0.5
"129","07430",0.513274336283186
"130","07432",0.590909090909091
"131","07435",0.592592592592593
"132","07436",0.56
"133","07438",0.732824427480916
"134","07439",0.655172413793103
"135","07440",0.836363636363636
"136","07442",0.727272727272727
"137","07444",0.692307692307692
"138","07446",0.529411764705882
"139","07450",0.530864197530864
"140","07452",0.714285714285714
"141","07456",0.525641025641026
"142","07457",0.588235294117647
"143","07458",0.288888888888889
"144","07460",0.578947368421053
"145","07461",0.537190082644628
"146","07462",0.652173913043478
"147","07463",0.551020408163265
"148","07465",0.634146341463415
"149","07470",0.6265664160401
"150","07479",1
"151","07480",0.6
"152","07481",0.32
"153","07501",0.69620253164557
"154","07502",0.751479289940828
"155","07503",0.706422018348624
"156","07504",0.797297297297297
"157","07505",1
"158","07506",0.752
"159","07508",0.761506276150628
"160","07512",0.745222929936306
"161","07513",0.762886597938144
"162","07514",0.758241758241758
"163","07522",0.730769230769231
